Station,Camera,CameraName,Species,TrapAndCamera,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
CT2,7, CT2,Urocyon cinereoargenteus,CT2_7,2021-11-27 08:46:55,2021-11-27,08:46:55,92789,1546,25.8,1.1,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/07,07f37361-7a35-469f-8de2-bfd540aa4d02.jpg
PN1,20,PN_1,Pecari tajacu,PN1_20,2021-11-27 09:08:14,2021-11-27,09:08:14,53697,894,14.9,0.6,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/43,43a31494-5c38-4e59-80b0-c47910b266e0.jpg
PN1,20,PN_1,Sciurus sp,PN1_20,2021-11-27 15:50:19,2021-11-27,15:50:19,365479,6091,101.5,4.2,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/99,99904be6-5c43-4672-9224-6472f0776f42.jpg
CT2,7, CT2,Pecari tajacu,CT2_7,2021-11-27 18:22:55,2021-11-27,18:22:55,172201,2870,47.8,2.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/dd,ddc2c705-9a10-46c0-baee-aeab1a3e0f3c.jpg
CT2,7, CT2,Sciurus sp,CT2_7,2021-11-28 08:24:56,2021-11-28,08:24:56,348358,5805,96.8,4.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/e9,e9080976-d17a-472c-abd8-80b4cd2b5cce.jpg
CT2,7, CT2,Puma concolor,CT2_7,2021-12-02 04:00:42,2021-12-02,04:00:42,1572214,26203,436.7,18.2,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/83,83c8564f-7787-47cf-8b8b-595cda67c8db.jpg
CT2,7, CT2,Cuniculus paca,CT2_7,2021-12-03 01:58:27,2021-12-03,01:58:27,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/30,30cfcbff-d44c-4b02-af63-2f8164d6c59d.jpg
CT2,7, CT2,Puma yagouaroundi,CT2_7,2021-12-04 16:25:09,2021-12-04,16:25:09,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/76,76f7f98c-58cf-4a21-b1d2-13321d7a662e.jpg
CT2,7, CT2,Pecari tajacu,CT2_7,2021-12-04 17:47:23,2021-12-04,17:47:23,602668,10044,167.4,7.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/02,02a5b930-6238-4447-b24d-326f2fe03c08.jpg
CT2,7, CT2,Pecari tajacu,CT2_7,2021-12-04 17:47:23,2021-12-04,17:47:23,602668,10044,167.4,7.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/02,02a5b930-6238-4447-b24d-326f2fe03c08.jpg
